detuning_ghz,mode,noise_model,per_frame_snr_initial,nmax_model,nmax,accumulated_initial_sqrt_n
0.75,PCI,shot_noise_only,26.57844125419852,clean_loss_continuous,7.3976977761399425,72.28992924478219
0.75,PCI,shot_plus_read_noise,25.93027967465775,clean_loss_continuous,7.3976977761399425,70.5270134185282
0.75,DGI,shot_noise_only,13.198240844976624,clean_loss_continuous,7.3976977761399425,35.8975113594458
0.75,DGI,shot_plus_read_noise,11.659804465738478,clean_loss_continuous,7.3976977761399425,31.713163002103503
1.5,PCI,shot_noise_only,13.293075235796923,clean_loss_continuous,29.581988680261396,72.30014129652055
1.5,PCI,shot_plus_read_noise,12.96890044468018,clean_loss_continuous,29.581988680261396,70.5369764315994
1.5,DGI,shot_noise_only,6.635137665782693,clean_loss_continuous,29.581988680261396,36.08806707616552
1.5,DGI,shot_plus_read_noise,4.564570463587287,clean_loss_continuous,29.581988680261396,24.826391457303775
3.0,PCI,shot_noise_only,6.647019618693593,clean_loss_continuous,118.3191522967472,72.30269498511286
3.0,PCI,shot_plus_read_noise,6.48492046870637,clean_loss_continuous,118.3191522967472,70.53946784404785
3.0,DGI,shot_noise_only,3.3220839548765433,clean_loss_continuous,118.3191522967472,36.1358378165257
3.0,DGI,shot_plus_read_noise,1.424342582366099,clean_loss_continuous,118.3191522967472,15.49323052958952
