statement,file_location,classification,required_assumptions,corrected_wording,severity
"photon-limited total SNR is independent of (Delta,P,tau)",notebook_sections/04_pci.py:153-157,too strong,"far detuned; weak phase; fixed clean-loss budget; identical independent frames; fixed observable","Under the idealised far-detuned clean-loss model the photon-limited accumulated SNR is asymptotically independent of detuning, power and exposure.",must correct before thesis
"read noise breaks this invariance",notebook_sections/04_pci.py:157,correct only under stated assumptions,"noise must change the per-frame detuning exponent; quadratic dark-field observable is the demonstrated case","Read noise breaks the cancellation when the useful signal falls faster with detuning than the relevant noise, as for read-noise-limited DGI.",should clarify
"total photon-limited SNR is set by the destruction budget",notebook_sections/04_pci.py:207-213,correct only under stated assumptions,"clean-loss identical-frame model and selected peak-pixel observable","In the idealised clean-loss model the leading accumulated-SNR scale is set by the destruction budget and observable prefactor.",should clarify
"frames vs per-shot SNR is the SAME for every detuning",notebook_sections/04_pci.py:257-274,misleading,"would require identical self-similar evolution and exact asymptotic scaling","The curves nearly collapse in the ideal scaling model; explicit evolving sequences retain several-percent detuning dependence.",must correct before thesis
"usable frames N_max (realistic)",notebook_sections/04_pci.py:243-277,incorrect,"would require integer heating-plus-reabsorption stopping budget","Continuous clean-loss threshold N_max (optimistic bound)" ,must correct before thesis
"N_max times tau is fixed by Delta and P",notebook_sections/03_light_atom_interaction.py:184-185,correct only under stated assumptions,"far-detuned fixed destruction law and fixed reabsorption convention","N_max tau is approximately fixed at a given detuning and power within the selected far-detuned destruction model.",should clarify
"accumulated SNR is nearly the same along the sweep",notebook_sections/09_multishot_simulation.py:319-326,correct only under stated assumptions,"specific sequence settings and RMS estimator","For this simulated sweep the RMS accumulated SNR varies modestly, retaining an approximate remnant of the ideal invariance.",should clarify
"photon-limited accumulated SNR is invariant",notebook_sections/10_analysis.py:113,too strong,"far-detuned clean-loss identical-frame limit","Photon-limited accumulated SNR is asymptotically invariant in the idealised clean-loss scaling model.",must correct before thesis
"identical N_max applies to every imaging mode",notebook_sections/06_faraday.py:177-224,correct as written,"same incident probe power duration detuning and atomic transition; downstream mode selection","For identical incident probe conditions the upstream scattering and destruction budget are mode-independent.",no issue
"PCI and DGI shot-noise curves differ by about two",results/dissertation_plots_v1/accumulated_snr_invariance/metadata.json,correct only under stated assumptions,"current peak-pixel observables ideal opaque stop and carrier-reference PCI","Under the current peak-pixel definitions PCI has an expected homodyne prefactor near two relative to ideal DGI; this is estimator-dependent.",should clarify
"both ideal curves are approximately detuning-invariant",results/dissertation_plots_v1/accumulated_snr_invariance/metadata.json,correct as written,"caption already states small-phase analytical model and clean-loss budget","Retain current qualified wording.",no issue
"linear modes have a fundamental advantage at large detuning",derived interpretation not explicit in current caption,incorrect,"would require proof across matched optimal estimators and calibrated noise","Under the current camera and peak-pixel estimator PCI is more robust to read noise than quadratic DGI at large detuning.",must correct if used
