sweep_id,parameter_raw,parameter_display,metric_value,faraday_signal_scale,scattered_photons_per_atom,destructiveness_metric
detuning,750000000,0.75,6.67177873423,0.150981603671,0.0226298877234,0.0227304395942
detuning,1000000000,1,8.8956812262,0.113255359881,0.0127314993648,0.0127633587456
detuning,1250000000,1.25,11.1195877867,0.090611383271,0.00814880776243,0.00816186574555
detuning,1500000000,1.5,13.3434963825,0.0755126983416,0.00565913881766,0.00566543826736
detuning,1750000000,1.75,15.5674061417,0.0647268303246,0.0041578429788,0.0041612439802
detuning,2000000000,2,17.7913166282,0.0566369194826,0.00318340236791,0.00318539624472
detuning,2500000000,2.5,22.2391389104,0.0453104227442,0.00203741803703,0.00203823486013
detuning,3000000000,3,26.686962211,0.0377590872265,0.00141488892321,0.00141528287304
intensity,0.5,0.5,53.3739244204,0.0755126983416,0.00141478632425,0.00141636118848
intensity,1,1,26.6869723951,0.0755126983416,0.00282957156861,0.00283272129586
intensity,1.5,1.5,17.79132172,0.0755126983416,0.00424435573308,0.00424908032216
intensity,2,2,13.3434963825,0.0755126983416,0.00565913881766,0.00566543826736
intensity,2.5,2.5,10.67480118,0.0755126983416,0.00707392082236,0.00708179513147
intensity,3,3,8.89567104496,0.0755126983416,0.00848870174717,0.0084981509145
intensity,4,4,6.67175837618,0.0755126983416,0.0113182603571,0.0113308592373
exposure,1e-05,10,53.37398553,0.0755126983416,0.00141478470442,0.00141635956684
exposure,2e-05,20,26.686992765,0.0755126983416,0.00282956940883,0.00283271913368
exposure,3e-05,30,17.79132851,0.0755126983416,0.00424435411325,0.00424907870052
exposure,4e-05,40,13.3434963825,0.0755126983416,0.00565913881766,0.00566543826736
exposure,6e-05,60,8.895664255,0.0755126983416,0.0084887082265,0.00849815740104
exposure,8e-05,80,6.67174819125,0.0755126983416,0.0113182776353,0.0113308765347
exposure,0.0001,100,5.337398553,0.0755126983416,0.0141478470442,0.0141635956684
