fluence_mw_us,image_number,snr_5x5,condensate_atoms,condensate_fraction,temperature_k,pre_exposure_loss,post_exposure_loss,status,counted_as_usable
90,1,8.39157204238,25000,1,2e-07,8.881784197e-16,0.0283773874608,usable,True
90,2,8.21128640794,24290.5653135,0.971622612539,2.00517441699e-07,0.0283773874608,0.0566819213614,usable,True
90,3,8.03010681634,23582.951966,0.943318078639,2.01030908303e-07,0.0566819213614,0.0849145273981,usable,True
90,4,7.84824943003,22877.136815,0.915085472602,2.01540470344e-07,0.0849145273981,0.113076110308,quality_limited,False
90,5,7.66564156284,22173.0972423,0.886923889692,2.02046196409e-07,0.113076110308,0.141167554548,quality_limited,False
90,6,7.48171120434,21470.8111363,0.858832445452,2.02548153207e-07,0.141167554548,0.169189724945,quality_limited,False
90,7,7.29641416706,20770.2568764,0.830810275055,2.03046405646e-07,0.169189724945,0.197143467318,quality_limited,False
90,8,7.10970545112,20071.413317,0.802856532682,2.03541016893e-07,0.197143467318,0.225029609077,quality_limited,False
90,9,6.92154471202,19374.2597731,0.774970390923,2.04032048436e-07,0.225029609077,0.252848959795,quality_limited,False
90,10,6.73190445465,18678.7760051,0.747151040205,2.04519560151e-07,0.252848959795,0.280602311761,quality_limited,False
90,11,6.5407741261,17984.942206,0.719397688239,2.05003610354e-07,0.280602311761,0.308290440502,both_limits,False
90,12,6.34815593158,17292.7389875,0.691709559498,2.05484255855e-07,0.308290440502,0.335914105298,both_limits,False
90,13,6.15411984421,16602.1473676,0.664085894702,2.05961552014e-07,0.335914105298,0.363474049663,both_limits,False
90,14,5.9590958665,15913.1487584,0.636525950337,2.0643555279e-07,0.363474049663,0.390971001818,both_limits,False
90,15,5.76228895592,15225.7249545,0.609028998182,2.06906310787e-07,0.390971001818,0.418405675138,both_limits,False
150,1,10.8430759562,25000,1,2e-07,8.881784197e-16,0.0472551139882,usable,True
150,2,10.454170024,23818.6221503,0.952744886012,2.00860190051e-07,0.0472551139882,0.0943095690721,usable,True
150,3,10.0625621167,22642.2607732,0.905690430928,2.01709468586e-07,0.0943095690721,0.141167554548,usable,True
150,4,9.66740874256,21470.8111363,0.858832445452,2.02548153207e-07,0.141167554548,0.187833104861,usable,True
150,5,9.26734945557,20304.1723785,0.812166895139,2.03376547225e-07,0.187833104861,0.234310107734,usable,True
150,6,8.86212848954,19142.2473066,0.765689892266,2.04194940522e-07,0.234310107734,0.280602311761,usable,True
150,7,8.45158686386,17984.942206,0.719397688239,2.05003610354e-07,0.280602311761,0.326713333478,depletion_limited,False
150,8,8.03573294846,16832.1666631,0.673286666522,2.05802822084e-07,0.326713333478,0.372646663986,depletion_limited,False
150,9,7.61551735619,15683.8334003,0.627353336014,2.06592829871e-07,0.372646663986,0.418405675138,both_limits,False
150,10,7.18854344878,14539.8581216,0.581594324862,2.07373877302e-07,0.418405675138,0.463993625332,both_limits,False
150,11,6.75340159418,13400.1593667,0.536006374668,2.08146197986e-07,0.463993625332,0.509413664949,both_limits,False
150,12,6.3097692286,12264.6583763,0.490586335051,2.08910016098e-07,0.509413664949,0.554668841445,both_limits,False
150,13,5.85817959044,11133.2789639,0.445331158555,2.09665546899e-07,0.554668841445,0.599762104145,both_limits,False
150,14,5.39777346645,10005.9473964,0.400237895855,2.10412997204e-07,0.599762104145,0.644696308735,both_limits,False
150,15,4.92414747657,8882.59228162,0.355303691265,2.11152565834e-07,0.644696308735,0.689474221506,both_limits,False
300,1,15.3446343637,25000,1,2e-07,8.881784197e-16,0.0943095690721,usable,True
300,2,14.2400856976,22642.2607732,0.905690430928,2.01709468586e-07,0.0943095690721,0.187833104861,usable,True
300,3,13.1147359801,20304.1723785,0.812166895139,2.03376547225e-07,0.187833104861,0.280602311761,usable,True
300,4,11.9603050031,17984.942206,0.719397688239,2.05003610354e-07,0.280602311761,0.372646663986,depletion_limited,False
300,5,10.7771366652,15683.8334003,0.627353336014,2.06592829871e-07,0.372646663986,0.463993625332,depletion_limited,False
300,6,9.55710892656,13400.1593667,0.536006374668,2.08146197986e-07,0.463993625332,0.554668841445,depletion_limited,False
300,7,8.29023082371,11133.2789639,0.445331158555,2.09665546899e-07,0.554668841445,0.644696308735,depletion_limited,False
300,8,6.96843050703,8882.59228162,0.355303691265,2.11152565834e-07,0.644696308735,0.734098523332,both_limits,False
300,9,5.57040370627,6647.53691669,0.265901476668,2.12608815833e-07,0.734098523332,0.822896612926,both_limits,False
300,10,4.06192000548,4427.58467685,0.177103387074,2.14035742663e-07,0.822896612926,0.911110453851,both_limits,False
300,11,2.36820285843,2222.23865373,0.0888895461494,2.15434688122e-07,0.911110453851,0.998758775405,both_limits,False
300,12,0.0777011679575,31.0306148766,0.00124122459506,2.16806899978e-07,0.998758775405,1,both_limits,False
300,13,0,0,0,2.18153540726e-07,1,1,both_limits,False
300,14,0,0,0,2.19475695349e-07,1,1,both_limits,False
300,15,0,0,0,2.20774378195e-07,1,1,both_limits,False
